Simcoe Holistic Health,55 Dunlop St W,Clinic,Barrie,Ontario,ca,"44.3883938,-79.6917101",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Toronto Poly Clinic,5460 Yonge St,Clinic,Toronto,Ontario,ca,"43.77714880000001,-79.41548759999999",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Queensborough Cannabis Co.,540 Ewen Avenue,Retail Store,New Westminster,British Columbia,ca,"49.1903827,-122.9364158",,"Hemp Flower, DIY CBD Oil Kit","https://diycbdoil.ca/products/hemp-flower, https://diycbdoil.ca/products/diy-cbd-oil-kit",,,,
Bodystream,54 Waterloo Rd,Clinic,Timmins,Ontario,ca,"48.4773516,-81.3374103",bodystreammedical.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Bodystream,53 Hunter St E,Clinic,Peterborough,Ontario,ca,"44.305903,-78.3112086",bodystreammedical.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Canada House Clinics,"52 Sioux Road, Room #203 Sherwood Park AB",Clinic,Sherwood Park,Alberta,ca,"53.5344527,-113.3239309",canadahouseclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
CannDocs Medical Clinic,51 King Street,Clinic,Barrie,Ontario,ca,"44.327441,-79.70430979999999",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Canada House Clinics,5-595 Pembroke Street East,Clinic,Pembroke,Ontario,ca,"45.8268639,-77.1116041",canadahouseclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Canrix Cannabinoid Clinic Inc.,5-3823 Lake Shore Blvd. W,Clinic,Etobicoke,Ontario,ca,"43.6027608,-79.49574779999999",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Seed to Soul Boutique,5 - 3495 Pleasant Valley Rd,Retail Store,Armstrong,British Columbia,ca,"50.4483143,-119.1943739",,"Hemp Flower, DIY CBD Oil Kit","https://diycbdoil.ca/products/hemp-flower, https://diycbdoil.ca/products/diy-cbd-oil-kit",,,,
Canada House Clinics,"496 Discovery Avenue, Unit 9",Clinic,Kingston,Ontario,ca,"44.2741258,-76.4439096",canadahouseclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Bodystream,486 Advance Blvd,Clinic,Tecumseh,Ontario,ca,"42.30287209999999,-82.8219842",bodystreammedical.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Main Street Health,460 Main Street East Suite 3M,Clinic,Hamilton,Ontario,ca,"43.2505732,-79.851911",mainstreethealthcenter.com,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Heat + Herb Cannabis,45 West Broadway,Retail Store,Vancouver,British Columbia,ca,"49.26316240000001,-123.1059206",,"Hemp Flower, DIY CBD Oil Kit","https://diycbdoil.ca/products/hemp-flower, https://diycbdoil.ca/products/diy-cbd-oil-kit",,,,
Cannascribe,43 Goldthorne Ave,Clinic,Etobicoke,Ontario,ca,"43.61529489999999,-79.5141474",cannascribe.com,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Bodystream,421 Rideau St,Clinic,Ottawa,Ontario,ca,"45.4307537,-75.6814395",bodystreammedical.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Cannabinoid Medical Clinic,414 Victoria Avenue Suite M6,Clinic,Hamilton,Ontario,ca,"43.2655116,-79.850594",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Canadian Cannabis Clinics,"4105 4 ST NW, Suite 5",Clinic,Calgary,Alberta,ca,"51.0879057,-114.0724261",cannabisclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Plants Not Pills,40 Metcalfe St W,Clinic,Strathroy,Ontario,ca,"42.9553453,-81.6226033",plantsnotpillscbd.com,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Bodystream,39 Pleasant Blvd,Clinic,Toronto,Ontario,ca,"43.6872343,-79.39200439999999",bodystreammedical.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Muse Cannabis Store,385-415 Dollarton Highway,Retail Store,North Vancouver,British Columbia,ca,"49.3083871,-122.9889759",,"Hemp Flower, DIY CBD Oil Kit","https://diycbdoil.ca/products/hemp-flower, https://diycbdoil.ca/products/diy-cbd-oil-kit",,,,
Canada House Clinics,"380 Hunt Club Road, Unit 103",Clinic,Ottawa,Ontario,ca,"45.339083,-75.68143429999999",canadahouseclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Cannabinoid Medical Clinic,"35 Upper Centennial Pkwy., 2nd Floor",Clinic,Stoney Creek,Ontario,ca,"43.1768445,-79.77669639999999",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Bodystream,345 Ecclestone Dr,Clinic,Bracebridge,Ontario,ca,"45.0260786,-79.3119454",bodystreammedical.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
4Twenty Cannabis,3441 Kingsway,Retail Store,Vancouver,British Columbia,ca,"49.232281,-123.0313424",4twentycompassion.com,"Hemp Flower, DIY CBD Oil Kit","https://diycbdoil.ca/products/hemp-flower, https://diycbdoil.ca/products/diy-cbd-oil-kit",,,,
Summertree Medical Clinic,"344 Bloor St W, Suite 209",Clinic,Toronto,Ontario,ca,"43.6667806,-79.4044382",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Bodystream,329 Queenston Rd,Clinic,Hamilton,Ontario,ca,"43.23378109999999,-79.7896085",bodystreammedical.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
OneOunce Medical Health Services,"3230 Blvd. Cure-Labelle, Suite 207-B",Clinic,Laval,Quebec,ca,"45.5680662,-73.7818216",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Canada House Clinics,320 Kings Road,Clinic,Sydney,Nova Scotia,ca,"46.126323,-60.199651",canadahouseclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Canadian Cannabis Clinics,"3155 Harvester Road, Unit 302",Clinic,Burlington,Ontario,ca,"43.3541897,-79.7974097",cannabisclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Canada House Clinics,314 rue Victoria,Clinic,Edmundston,New New Brunswick,ca,"47.3730742,-68.3284396",canadahouseclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
